gameid,startTime,endTime,homeTeam,homeShots,awayTeam,awayShots
2015020007,"2015-10-09T02:09:12Z","2015-10-09T02:14:07Z","TBL",5,"PHI",3
2015020015,"2015-10-10T02:13:41Z","2015-10-10T02:19:08Z","NYI",1,"CHI",3
2015020019,"2015-10-11T01:54:15Z","2015-10-11T02:02:06Z","TOR",7,"OTT",2
2015020028,"2015-10-11T04:43:07Z","2015-10-11T04:47:33Z","VAN",2,"CGY",1
2015020036,"2015-10-13T04:27:37Z","2015-10-13T04:34:59Z","ANA",2,"VAN",4
2015020058,"2015-10-17T01:33:47Z","2015-10-17T01:41:35Z","NJD",4,"SJS",2
2015020064,"2015-10-17T05:05:39Z","2015-10-17T05:11:33Z","LAK",1,"MIN",2
2015020066,"2015-10-18T01:50:26Z","2015-10-18T01:59:50Z","OTT",3,"NSH",1
2015020075,"2015-10-18T19:25:36Z","2015-10-18T19:30:58Z","NYR",2,"NJD",2
2015020078,"2015-10-19T03:28:54Z","2015-10-19T03:31:31Z","VAN",1,"EDM",2
2015020081,"2015-10-21T01:37:17Z","2015-10-21T01:40:49Z","NJD",1,"ARI",1
2015020083,"2015-10-21T01:47:51Z","2015-10-21T01:53:12Z","PIT",2,"FLA",1
2015020086,"2015-10-21T02:39:24Z","2015-10-21T02:46:48Z","NSH",1,"TBL",1
2015020088,"2015-10-22T01:42:15Z","2015-10-22T01:50:37Z","BUF",1,"TOR",3
2015020089,"2015-10-22T02:36:25Z","2015-10-22T02:43:04Z","BOS",1,"PHI",1
2015020091,"2015-10-22T04:30:08Z","2015-10-22T04:32:10Z","COL",1,"CAR",1
2015020094,"2015-10-23T02:07:49Z","2015-10-23T02:15:35Z","OTT",2,"NJD",4
2015020102,"2015-10-24T02:38:22Z","2015-10-24T02:39:15Z","WPG",1,"TBL",2
2015020103,"2015-10-24T03:43:04Z","2015-10-24T03:47:56Z","CGY",3,"DET",3
2015020110,"2015-10-25T01:49:57Z","2015-10-25T01:57:11Z","PHI",5,"NYR",3
2015020111,"2015-10-25T02:35:06Z","2015-10-25T02:41:17Z","STL",3,"NYI",4
2015020112,"2015-10-25T02:33:49Z","2015-10-25T02:36:02Z","NSH",0,"PIT",2
2015020114,"2015-10-25T02:59:45Z","2015-10-25T03:01:16Z","CHI",2,"TBL",0
2015020116,"2015-10-25T04:40:15Z","2015-10-25T04:47:53Z","VAN",2,"DET",5
2015020123,"2015-10-27T03:12:23Z","2015-10-27T03:14:23Z","CHI",1,"ANA",2
2015020126,"2015-10-28T01:46:01Z","2015-10-28T01:50:15Z","PHI",3,"BUF",2
2015020134,"2015-10-29T02:27:04Z","2015-10-29T02:33:45Z","OTT",1,"CGY",2
2015020137,"2015-10-30T01:32:50Z","2015-10-30T01:38:12Z","NYI",1,"CAR",4
2015020143,"2015-10-30T03:04:55Z","2015-10-30T03:09:43Z","DAL",2,"VAN",0
2015020154,"2015-10-31T19:24:48Z","2015-10-31T19:32:04Z","NJD",2,"NYI",4
2015020156,"2015-10-31T22:29:03Z","2015-10-31T22:37:18Z","LAK",2,"NSH",3
2015020160,"2015-11-01T02:37:17Z","2015-11-01T02:42:33Z","FLA",1,"WSH",2
2015020162,"2015-11-01T03:47:44Z","2015-11-01T03:55:03Z","STL",3,"MIN",5
2015020175,"2015-11-04T03:10:01Z","2015-11-04T03:10:52Z","MTL",0,"OTT",1
2015020182,"2015-11-05T03:51:04Z","2015-11-05T03:55:44Z","CHI",3,"STL",2
2015020184,"2015-11-05T06:12:59Z","2015-11-05T06:20:53Z","ANA",2,"FLA",5
2015020188,"2015-11-06T03:09:51Z","2015-11-06T03:19:51Z","OTT",3,"WPG",7
2015020190,"2015-11-06T04:37:40Z","2015-11-06T04:41:20Z","CGY",2,"PHI",2
2015020194,"2015-11-07T02:53:56Z","2015-11-07T03:00:04Z","TOR",0,"DET",3
2015020203,"2015-11-08T02:49:34Z","2015-11-08T03:00:56Z","WSH",3,"TOR",4
2015020204,"2015-11-08T02:44:39Z","2015-11-08T02:48:42Z","CAR",3,"OTT",0
2015020212,"2015-11-09T00:55:25Z","2015-11-09T01:01:48Z","NJD",2,"VAN",1
2015020215,"2015-11-10T05:35:42Z","2015-11-10T05:37:35Z","ANA",1,"ARI",1
2015020228,"2015-11-12T03:14:34Z","2015-11-12T03:21:11Z","PIT",2,"MTL",2
2015020229,"2015-11-12T05:38:54Z","2015-11-12T05:40:53Z","ANA",0,"EDM",3
2015020233,"2015-11-13T02:35:29Z","2015-11-13T02:41:24Z","CAR",3,"MIN",2
